snapshot,CCGT,Denmark gas supply,Germany external gas supply,Norway gas supply,OCGT,Offshore wind,Onshore wind,Solar,battery storage,pumped hydro
2015-09-12 02:00:00,47834.95453569372,0.0,0.0,0.0,0.0,40592.598579879326,22964.230668442215,0.0,0.0,-5092.988011242081
2015-09-12 03:00:00,42035.3589257799,0.0,0.0,0.0,0.0,41568.67156042284,17722.34379476669,0.0,0.0,7000.0
2015-09-12 04:00:00,42345.7092340545,0.0,0.0,0.0,0.0,43626.615004314895,27948.915949803915,250.39883200965122,0.0,-3470.5706049547553
2015-09-12 05:00:00,22868.251432795147,0.0,0.0,0.0,0.0,41712.46612016056,21570.71704949552,7298.247188574001,13304.341670860184,7000.0
2015-09-12 06:00:00,11797.125425118045,0.0,0.0,0.0,0.0,41759.916538539066,25973.289813082065,30332.868623339666,0.0,1399.9999999999952
2015-09-12 07:00:00,0.0,0.0,0.0,0.0,0.0,32233.579638915977,24032.838063612493,59363.84163618255,0.0,-7000.0
2015-09-12 08:00:00,0.0,0.0,0.0,0.0,0.0,10996.319100099257,28544.626150789136,88470.52343046908,0.0,-24768.50256511571
2015-09-12 09:00:00,0.0,0.0,0.0,0.0,0.0,10034.150566469678,7559.349586211068,88198.15727308247,0.0,-7630.964742660804
2015-09-12 10:00:00,0.0,0.0,0.0,0.0,0.0,9624.697813637835,10515.349125276423,80948.76119563312,0.0,-7000.0
2015-09-12 11:00:00,0.0,0.0,0.0,0.0,0.0,9487.931524026088,7440.297797334082,82113.19887200097,0.0,-8140.948338713293
2015-09-12 12:00:00,0.0,0.0,0.0,0.0,0.0,8789.559730385561,31136.65978967067,79541.83626507719,0.0,-30669.432064588866
2015-09-12 13:00:00,0.0,0.0,0.0,0.0,0.0,9829.669326048137,9434.82499814516,111132.35120629652,-32961.505670472376,-9826.426657024636
2015-09-12 14:00:00,0.0,0.0,0.0,0.0,0.0,42611.544731993075,10895.026078196248,79634.33033077829,-38922.03210836213,-7000.0
2015-09-12 15:00:00,0.0,0.0,0.0,0.0,0.0,32480.099121753097,26873.01845411802,44843.3244323933,-9683.143163972925,-6222.222222222222
2015-09-12 16:00:00,0.0,0.0,0.0,0.0,0.0,54492.060764509624,26728.932395875905,15460.55383785111,-365.38514896235574,-6640.93374094944
2015-09-12 17:00:00,0.0,0.0,0.0,0.0,0.0,56042.640634447525,26111.596755391976,429.1841648287206,10439.493776874073,-1492.603840692209
2015-09-12 18:00:00,0.0,0.0,0.0,0.0,0.0,62569.230448275935,29640.814052075842,0.0,0.0,1649.393258841832
2015-09-12 19:00:00,0.0,0.0,0.0,0.0,0.0,61347.78516871648,30556.547440539376,0.0,-724.6073974817008,0.0
2015-09-12 20:00:00,0.0,0.0,0.0,0.0,0.0,58257.7540887514,29525.446544955703,0.0,-127.00575557980211,0.0
2015-09-12 21:00:00,0.0,0.0,0.0,0.0,0.0,52082.182371462884,26979.971456344632,0.0,0.0,4908.149979613058
2015-09-12 22:00:00,0.0,0.0,0.0,0.0,0.0,46040.83832304571,25339.142498091038,0.0,9157.451731571133,0.0
2015-09-12 23:00:00,0.0,0.0,0.0,0.0,0.0,40738.5608218889,23868.18381478144,0.0,14622.339003476174,0.0
2015-09-13 00:00:00,12642.86283656906,0.0,0.0,0.0,0.0,39358.26753563031,20467.62585646075,0.0,0.0,7000.0
2015-09-13 01:00:00,0.0,0.0,0.0,0.0,0.0,34125.342493537864,21293.3282088881,0.0,16475.57918473117,7000.0
2015-09-13 02:00:00,21049.889372967977,0.0,0.0,0.0,0.0,30377.99264380875,21639.77601539436,0.0,0.0,7000.0
2015-09-13 03:00:00,28285.52649406164,0.0,0.0,0.0,0.0,29755.368432342275,21811.82327973932,0.0,0.0,1842.4567615451087
2015-09-13 04:00:00,0.0,0.0,0.0,0.0,0.0,33411.72678773266,51081.066970878994,200.31906560772097,25404.71552075348,-26463.899202737775
2015-09-13 05:00:00,24616.715699501266,0.0,0.0,0.0,0.0,23108.4600530624,26487.119220831642,5044.920677023223,0.0,7000.0
2015-09-13 06:00:00,10248.853272211767,0.0,0.0,0.0,0.0,20371.95672639941,25455.211888053705,22107.787770578383,2594.5862727305575,7000.0
2015-09-13 07:00:00,0.0,0.0,0.0,0.0,0.0,21988.54176273071,21068.79467666008,46395.5525063164,0.0,-2314.4303813495526
2015-09-13 08:00:00,0.0,0.0,0.0,0.0,0.0,10767.78026837849,20494.393407512896,65961.8819668959,-2653.166934448702,-7000.0
2015-09-13 09:00:00,0.0,0.0,0.0,0.0,0.0,9987.90481160086,19334.370197709606,79681.2456863824,-12138.369958828,-7000.0
2015-09-13 10:00:00,0.0,0.0,0.0,0.0,0.0,4175.568806181756,14527.592260653804,87807.99129353209,-17491.843323072047,0.0
2015-09-13 11:00:00,0.0,0.0,0.0,0.0,0.0,8968.070564496884,12685.717009363878,84715.71109093726,-19874.599740793987,0.0
2015-09-13 12:00:00,0.0,0.0,0.0,0.0,0.0,11108.758412328623,20553.52259695149,71137.86744538875,-18021.552881715295,0.0
2015-09-13 13:00:00,0.0,0.0,0.0,0.0,0.0,6102.237364609302,32921.482724591726,54576.23930834239,-9031.7002988921,-1205.9080476541444
2015-09-13 14:00:00,0.0,0.0,0.0,0.0,0.0,12142.715329620798,34899.02324688976,36173.088619553164,345.42955917290334,0.0
2015-09-13 15:00:00,0.0,0.0,0.0,0.0,0.0,25015.749008079634,32131.956462226546,19357.761584950877,19754.33670852614,-10490.009109100314
2015-09-13 16:00:00,0.0,0.0,0.0,0.0,0.0,22055.31361175715,31981.835107045503,8182.422849226557,25611.63006351213,0.0
2015-09-13 17:00:00,0.0,0.0,0.0,0.0,0.0,31673.360204183286,31941.81655623905,24.83379833491811,26814.55974790138,0.0
2015-09-13 18:00:00,0.0,0.0,0.0,0.0,0.0,56660.36477772491,34463.261464446296,0.0,2772.2421416327134,0.0
2015-09-13 19:00:00,0.0,0.0,0.0,0.0,0.0,67625.56942679346,30418.99287741282,0.0,0.0,-7000.0
2015-09-13 20:00:00,0.0,0.0,0.0,0.0,0.0,71941.90765777725,30186.79923777003,0.0,0.0,-13805.698683939665
2015-09-13 21:00:00,0.0,0.0,0.0,0.0,0.0,72891.46351980962,33651.36859622475,0.0,-18494.585366437168,-3821.7426711805483
2015-09-13 22:00:00,0.0,0.0,0.0,0.0,0.0,69229.15981785674,13727.857789086353,0.0,-1721.5207769388796,0.0
2015-09-13 23:00:00,0.0,0.0,0.0,0.0,0.0,70461.86369500424,32182.743982732285,0.0,-22641.642489636335,0.0
2015-09-14 00:00:00,0.0,0.0,0.0,0.0,0.0,72981.27384626238,12051.008519182584,0.0,-5393.775963155771,0.0
2015-09-14 01:00:00,0.0,0.0,0.0,0.0,0.0,68839.18272785618,30802.581851182003,0.0,-16990.954462204016,-2427.5042136072625
2015-09-14 02:00:00,0.0,0.0,0.0,0.0,0.0,61344.33837569661,31949.34655295773,0.0,-9893.416140708856,0.0
2015-09-14 03:00:00,0.0,0.0,0.0,0.0,0.0,62928.14221612073,32417.79597348192,0.0,-4610.025466163246,0.0
2015-09-14 04:00:00,0.0,0.0,0.0,0.0,0.0,68021.18091404824,53528.22745538033,0.0,4861.793224044623,-21186.11092249956
2015-09-14 05:00:00,0.0,0.0,0.0,0.0,0.0,59496.46567706647,40926.843945566965,4353.5258280815915,11356.737768416242,0.0
2015-09-14 06:00:00,0.0,0.0,0.0,0.0,0.0,45723.75716466017,39888.002478278315,17989.551564546433,15082.46371948837,0.0
2015-09-14 07:00:00,0.0,0.0,0.0,0.0,0.0,36452.28044568357,42206.103932397484,28742.60107351756,8069.961777820129,0.0
2015-09-14 08:00:00,0.0,0.0,0.0,0.0,0.0,33103.65914614436,43467.13724057486,40700.219018170494,-993.0959795356489,-1010.9026978533884
2015-09-14 09:00:00,0.0,0.0,0.0,0.0,0.0,34509.198080605565,35988.0091341668,46517.638777922155,-1556.075330021126,0.0
2015-09-14 10:00:00,0.0,0.0,0.0,0.0,0.0,29362.338874483314,37050.640784467825,55275.56812488357,-8066.970033244185,0.0
2015-09-14 11:00:00,0.0,0.0,0.0,0.0,0.0,24061.415381224546,38476.72630506423,53853.239465368926,-3787.827431971414,0.0
2015-09-14 12:00:00,0.0,0.0,0.0,0.0,0.0,23072.325212875952,37172.07726079092,50251.02478837587,-343.26003522867836,0.0
2015-09-14 13:00:00,0.0,0.0,0.0,0.0,0.0,16805.17947628492,45096.09865633369,46744.847946865746,-121.41230743613937,0.0
2015-09-14 14:00:00,0.0,0.0,0.0,0.0,0.0,21842.410931061513,45547.548477672295,40964.45959221648,-2190.742139208077,0.0
2015-09-14 15:00:00,0.0,0.0,0.0,0.0,0.0,28336.334526393774,45865.91597837028,27244.0058490402,4646.101581416055,0.0
2015-09-14 16:00:00,0.0,0.0,0.0,0.0,0.0,34806.76752546353,45496.40785413713,12453.111104010295,13349.566895449165,0.0
2015-09-14 17:00:00,0.0,0.0,0.0,0.0,0.0,48701.89446469833,41937.17557120291,387.79450093719043,19414.052378708442,0.0
2015-09-14 18:00:00,0.0,0.0,0.0,0.0,0.0,57291.24537856165,42323.55503843486,0.0,15242.444562805165,0.0
2015-09-14 19:00:00,0.0,0.0,0.0,0.0,0.0,64691.69553321897,47495.90419709298,0.0,0.0,-971.2987368375125
2015-09-14 20:00:00,0.0,0.0,0.0,0.0,0.0,72981.66315774148,50320.75424053122,0.0,0.0,-16812.60927030249
2015-09-14 21:00:00,0.0,0.0,0.0,0.0,0.0,79118.92980028711,22602.04530750335,0.0,0.0,0.0
2015-09-14 22:00:00,0.0,0.0,0.0,0.0,0.0,89920.05005190533,14123.750845047174,0.0,0.0,-5174.768237968376
2015-09-14 23:00:00,0.0,0.0,0.0,0.0,0.0,86447.2035994963,14405.358614272307,0.0,-2671.7384974793613,0.0
2015-09-15 00:00:00,0.0,0.0,0.0,0.0,0.0,85009.93965209946,43066.80221340605,0.0,-29542.89310109318,0.0
2015-09-15 01:00:00,0.0,0.0,0.0,0.0,0.0,87786.13576994411,12362.401484067937,0.0,0.0,0.0
2015-09-15 02:00:00,0.0,0.0,0.0,0.0,0.0,87771.33763170168,22512.24501230441,0.0,0.0,-7000.0
